Player ID,Player Name,median_pScore,iqr_mean_pScore,total_maps_played,num_appearances
10055204,Zoobin4,1.054701634642717,1.0660381564358923,153,28
10015908,Auraah,1.0520028464837088,1.1031864094197315,191,28
8880797,Naito Mare,1.0511507330202476,1.053593542405905,122,21
16100800,ICECAKE,1.048604149966424,1.0426296126100623,79,17
11817815,[Crz]Envy,1.0445648209297116,1.0509533309136254,33,8
13349388,Achino,1.0421888524391254,0.9877277665015521,97,16
15548876,Silicosis,1.0370661040470468,0.9909293186502698,90,16
18867523,flowerful,1.0369720654174173,1.0451614372600564,77,15
24058560,Neon-Hooray,1.0360064341428035,1.0299833387848543,92,11
13235067,MegMewtwoZ,1.0342457299558359,0.9866267190098016,140,20
12599154,Toxic Scent,1.0328002714189677,1.0221407620668264,74,12
28571440,[Crz]yomogi237,1.0326976881226417,0.9400879270386735,50,11
13382147,[-Leon-],1.032238867300613,1.0293695745935556,129,26
15543726,nanonbandusty,1.0321217724674,0.9734125197207811,42,8
10960533,Bakuretsue,1.0294958653815143,0.9768307063690884,38,9
6699923,Sunyata,1.0272753333178586,1.0237826756384019,63,10
21072569,AomDCO,1.0228561888539616,0.9987391964545971,91,18
16468962,ERA Sunny,1.0207723928523433,1.0500635681859138,109,19
13878539,ERA Veryi,1.017747686841706,0.990727038295977,86,18
5390121,Piggy,1.0165825060228542,1.0352540379000947,54,10
6912079,Iseri,1.0092194287599254,1.0228355268120588,63,11
3799946,xSnaggles,1.003391995959416,1.0161333502756977,69,10
16505281,Buschan,1.0033036418936851,1.0403978016455586,89,13
8782656,[GS]Einar,1.0026563271112903,0.9570535522498245,76,11
5156656,Yonk_,0.990801602509381,0.8813885141743066,112,17
10329095,VanillaLatte,0.9892248468135096,1.007862926885785,114,17
9049282,[RUE]Clamati,0.9882466093871909,0.9714184902668501,74,12
13026904,tyrcs,0.9876404587192443,1.0078947309227846,195,26
18560307,Silicosis 2,0.9871976007110637,0.9779942565809214,112,23
14934242,Akermo,0.9852621264193678,0.9525017326413006,78,8
26702763,riftoyu,0.9755020104854668,0.9765574017261471,55,10
12028216,mashu,0.9739728885721779,0.998879965183116,92,19
6315000,NeonDrakon,0.9728711235547999,0.9773476899134705,99,17
19141228,malza,0.9679725910024385,0.9155369378505718,49,9
14213841,[Crz]Xinyi2016,0.9675595504779722,0.9652949617419554,163,18
10540515,RetroEX,0.9646589585919366,0.9716504990113103,82,14
10279743,shko,0.9633721471014891,0.9360939525269298,51,12
16191180,Shice2566,0.9577420470362026,0.9549647273191653,91,17
10540368,HD_AdreNaline,0.9566959177922381,0.9075955931538938,40,8
10764424,Mantozi,0.9557852598053229,0.9616983252848629,140,14
9663200,Strachy,0.9533800694077765,0.9331234622804757,36,8
13887380,svp-,0.9497382088162971,0.9622173222135166,57,8
5214842,Jeanne Da Rin,0.9449157742489751,0.9334332638064373,33,8
27233308,CuteNatro,0.9427322342123725,0.9448418749059637,63,11
12657177,ASharpp,0.9416991761768234,0.9385543198518342,130,17
11799103,yoppy-yugen,0.9355873009806922,0.9151370653928914,44,9
25914360,MiniEgg_23,0.9284693353845079,0.8881687924589684,80,14
12723207,twitch chat,0.9282416637613694,0.8210542952031148,47,11
23070586,7581Eason,0.9223145090339004,0.9312486157906292,53,8
3181281,Zergh,0.9214843792578569,0.9109819505121076,48,10
16892459,Babil,0.9171147043978437,0.9203428395260116,34,8
14318312,[Crz]Reimu,0.9123676056589662,0.954581636450405,138,17
11924624,--Dragon--,0.9075636672855568,0.8918810555442468,44,9
6336721,[Paw]FIood,0.9066031972145348,0.9844759057085428,67,8
16608860,yoshyap,0.9059190206340937,0.8954172617002352,50,10
32379983,Idontknowwhathi,0.8953113945746269,0.8944748088583028,37,8
3840946,SitekX,0.8938253824204926,0.8819308063563509,39,8
13377652,Shoira,0.8921207156856661,0.8485802098456572,118,22
7928981,[Crz]Riko,0.8919149109726332,0.9021641796824538,59,8
12561379,nayuu,0.891609778393895,0.9164371875886264,63,9
30122510,-fm777-,0.8906274603457048,0.9225736355713413,94,12
5193488,Koiidex,0.8906196633233116,0.9164153324564029,30,9
17753122,invadey,0.8882422906909128,0.8923227258644943,51,8
13471840,Fubuki fan,0.8852417752461132,0.8361332598923112,56,8
13921965,DarkMew2,0.879577571619645,0.880738702013117,88,16
8111953,_Seth,0.8752667310962248,0.881258825070014,42,9
12054898,[MY]Sol,0.8743184495851478,0.8758477720176742,39,10
8756421,quentin5110054,0.8718578135264023,0.8888661572273487,36,8
10884561,Mafufu,0.8627883743314813,0.8732149565248626,97,17
8883576,Hitachimako0721,0.8625487169503496,0.8334336489194284,53,8
14055233,MisteurFR,0.8612141578243641,0.8511339017282881,68,15
11817622,SunApple,0.858239153490989,0.8527015622480045,44,11
10945523,samuelhklumpers,0.856796189493004,0.8245927192321826,107,21
7304075,Kuiiiiteeee,0.8532527112706164,0.791855144392285,58,9
8586018,[GB]Reisen,0.8532149510680386,0.8202645806284311,72,8
11817838,Brisket Bacon,0.852533883833009,0.9144037848185508,55,15
16870002,sukidayo-,0.8463502099575148,0.7945887317825522,79,16
18265431,[Mom] -So1-,0.8435741019411145,0.8768599289931341,64,10
7727987,Neokje,0.8408216014882731,0.9018079006172777,69,11
10036005,-Oni-Chan-,0.8333676881687293,0.8354012133050421,58,12
3760209,Tosai_,0.8262711180179848,0.801530806431107,64,15
10393606,ERA Illya,0.8248205306916416,0.8276870261723287,33,9
15555328,Hawkfrost,0.8216508178839635,0.8366549860516385,65,9
10553827,diamondBIaze,0.8216490845611829,0.8568786271171718,75,13
9552883,Alen-,0.8197346162076934,0.833036638044996,50,12
16020685,ShiroPeDeFresa,0.8167888169484556,0.7798614724698897,62,11
8553078,Guldakh,0.8147783801538547,0.8331313500995522,48,11
10804091,GDMem,0.8120518085885066,0.8594929456753874,58,13
10235085,Asuma Toki,0.8064118178803868,0.7856605128651017,89,18
6701738,Stability,0.8047852596068533,0.7928189572562695,54,12
10817494,[Crz]Nickname,0.7944851156394519,0.7644499815388865,75,19
20656485,antony88fayah,0.7929503171838308,0.7903708804124978,52,9
11188249,Plutes,0.7870218333386353,0.7833830330250706,39,9
28639641,[GB]mmttyy233,0.7836754239106117,0.782777813907303,132,14
11939641,wolfpup08,0.7834279835925237,0.7835498770091431,60,11
5919873,Xan-,0.7828384244037125,0.7565247689920133,43,14
22839620,beta carotene,0.7810612894325538,0.8166778731742989,33,11
20670028,ReJust,0.7797834311670456,0.7632555686499807,42,13
5858053,[ Classic ],0.7777430591683072,0.8053341445953178,54,11
11625617,ERA medium kek,0.7708740384803641,0.7291100596524117,105,23
29606773,Shenzouz,0.7679935932088504,0.7523840725228468,93,11
15756120,H1Pur,0.7655508849408582,0.6577979887641534,30,9
18111392,minatoaquafan69,0.7595058435638663,0.7245620440425781,51,12
12585687,[LN]numuser,0.7594621768102376,0.7606749634003864,41,9
9409456,Niko_Plays,0.7540872823241609,0.7283301804012992,29,9
29546640,Kirchhoff123,0.7491617620589799,0.7738540866909128,72,9
